,ISIN,Name,Symbol,Type,TER,Dividendi,Trading Currency,info
0,IE00B5ZR2157,PIMCO Euro Short Maturity UCITS ETF,PJS1,Active ETF,"0,35%",Distributing,EUR,"Bonds,Europe,Aggregate,0-3"
1,LU0599612842,Ossiam Europe ESG Machine Learning UCITS ETF - 1C (EUR),OSX4,Active ETF,"0,65%",Accumulating,EUR,"Equity,Europe,Social/Environmental"
2,IE00BF8HV717,PIMCO Covered Bond UCITS ETF,COVR,Active ETF,"0,43%",Distributing,EUR,"Bonds,Europe,CoveredBonds,Allmaturities"
3,IE00BP9F2J32,PIMCO Euro Low Duration Corporate Bond UCITS ETF,LDCE,Active ETF,"0,49%",Distributing,EUR,"Bonds,Europe,Corporate,3-5"
4,IE00BVZ6SP04,PIMCO Euro Short Maturity UCITS ETF EUR ACC,PJSR,Active ETF,"0,35%",Accumulating,EUR,"Bonds,Europe,Aggregate,0-3"
5,DE000ETF7011,Lyxor Portfolio Strategy UCITS ETF,F701,Active ETF,"0,45%",Distributing,EUR,"Equity,World,Multi-AssetStrategy"
6,IE00BDFC6Q91,JPM USD Ultra-Short Income UCITS ETF,JPPS,Active ETF,"0,18%",Distributing,EUR,"Bonds,World,Corporate,0-3"
7,DE000ETF7029,Lyxor Portfolio Strategy Defensive UCITS ETF,F702,Active ETF,"0,40%",Distributing,EUR,"Equity,World,Multi-AssetStrategy"
8,DE000ETF7037,Lyxor Portfolio Strategy Offensive UCITS ETF,F703,Active ETF,"0,52%",Distributing,EUR,"Equity,World,Multi-AssetStrategy"
9,IE00BKZGB098,HSBC Multi-Factor Worldwide Equity UCITS ETF,H41J,Active ETF,"0,25%",Distributing,EUR,"Equity,World,Multi-FactorStrategy"
10,IE00BF92LV92,Ossiam ESG Low Carbon Shiller Barclays CAPE US Sector UCITS ETF - 1A (EUR),5HEE,Active ETF,"0,75%",Accumulating,EUR,"Equity,UnitedStates,SectorStrategy,ClimateChange"
11,IE00BF92LR56,Ossiam ESG Low Carbon Shiller Barclays CAPE US Sector UCITS ETF - 1A (USD),5HED,Active ETF,"0,75%",Accumulating,USD,"Equity,UnitedStates,SectorStrategy,ClimateChange"
12,IE00BD9MMF62,JPM EUR Ultra-Short Income UCITS ETF - EUR (acc),JEST,Active ETF,"0,08%",Accumulating,EUR,"Bonds,World,Corporate,0-3"
13,IE00BFWXDY69,Franklin Euro Short Maturity UCITS ETF,FVSH,Active ETF,"0,05%",Distributing,EUR,"Bonds,World,Aggregate,0-3"
14,IE00BFWXDX52,Franklin USD Investment Grade Corporate Bond UCITS ETF,FVUI,Active ETF,"0,35%",Distributing,EUR,"Bonds,UnitedStates,Corporate,Allmaturities"
15,IE00BF4G7183,JPM Europe Research Enhanced Index Equity (ESG) UCITS ETF - EUR (acc),JREE,Active ETF,"0,25%",Accumulating,EUR,"Equity,Europe,Social/Environmental"
16,IE00BF4G6Y48,JPM Global Research Enhanced Index Equity (ESG) UCITS ETF - USD (acc),JREG,Active ETF,"0,25%",Accumulating,EUR,"Equity,World,Social/Environmental"
17,IE00BF4G7076,JPM US Research Enhanced Index Equity (ESG) UCITS ETF - USD (acc),JREU,Active ETF,"0,20%",Accumulating,EUR,"Equity,UnitedStates,Social/Environmental"
18,IE00BF59RW70,JPM EUR Corporate Bond 1-5 yr Research Enhanced Index (ESG) UCITS ETF - EUR (acc),JER5,Active ETF,"0,19%",Accumulating,EUR,"Bonds,World,Corporate,3-5"
19,IE00BF59RX87,JPM EUR Corporate Bond Research Enhanced Index (ESG) UCITS ETF - EUR (acc),JREB,Active ETF,"0,19%",Accumulating,EUR,"Bonds,World,Corporate,Allmaturities"
20,IE00BF4G6Z54,JPM Global Emerging Markets Research Enhanced Index Equity (ESG) UCITS ETF,JREM,Active ETF,"0,30%",Accumulating,EUR,"Equity,EmergingMarkets,Social/Environmental"
21,IE00BF59RV63,JPM USD Corporate Bond Research Enhanced Index (ESG) UCITS ETF - USD (acc),JRUB,Active ETF,"0,19%",Accumulating,EUR,"Bonds,World,Corporate,Allmaturities"
22,IE00BG8BCY43,JPM USD Ultra-Short Income UCITS ETF,JPPA,Active ETF,"0,18%",Accumulating,EUR,"Bonds,World,Corporate,0-3"
23,IE00BHZRR253,Franklin Euro Green Bond UCITS ETF,FLRG,Active ETF,"0,18%",Accumulating,EUR,"Bonds,Europe,Aggregate,Allmaturities"
24,IE00BJBLDK52,Ossiam US ESG Low Carbon Equity Factors UCITS ETF (EUR),OUFE,Active ETF,"0,45%",Accumulating,EUR,"Equity,UnitedStates,Multi-FactorStrategy,ClimateChange"
25,IE00BJBLDJ48,Ossiam US ESG Low Carbon Equity Factors UCITS ETF (USD),OUFU,Active ETF,"0,45%",Accumulating,USD,"Equity,UnitedStates,Multi-FactorStrategy,ClimateChange"
26,IE00BJQRDP39,Invesco Quantitative Strategies ESG Global Equity Multi-factor UCITS ETF EUR Hdg Acc,IQSE,Active ETF,"0,30%",Accumulating,EUR,"Equity,World,Multi-FactorStrategy"
27,IE00BJQRDN15,Invesco Quantitative Strategies ESG Global Equity Multi-factor UCITS ETF Acc,IQSA,Active ETF,"0,30%",Accumulating,EUR,"Equity,World,Multi-FactorStrategy"
28,IE00BJ06C044,JPM US Research Enhanced Index Equity (ESG) UCITS ETF - USD (dist),JRUD,Active ETF,"0,20%",Distributing,EUR,"Equity,UnitedStates,Social/Environmental"
29,IE00BKSBGS44,Fidelity Sustainable Research Enhanced US Equity UCITS ETF - Acc,FUSR,Active ETF,"0,30%",Accumulating,EUR,"Equity,UnitedStates,Social/Environmental"
30,IE00BKSBGT50,Fidelity Sustainable Research Enhanced Europe Equity UCITS ETF - Acc,FEUR,Active ETF,"0,30%",Accumulating,EUR,"Equity,Europe,Social/Environmental"
31,IE00BKSBGV72,Fidelity Sustainable Research Enhanced Global Equity UCITS ETF - Acc,FGLR,Active ETF,"0,35%",Accumulating,EUR,"Equity,World,Social/Environmental"
32,IE00BLP53M98,BlackRock ESG Multi-Asset Conservative Portfolio UCITS ETF EUR (Acc),MACV,Active ETF,"0,25%",Accumulating,EUR,"Equity,World,Social/Environmental,Multi-AssetStrategy"
33,IE00BLLZQS08,BlackRock ESG Multi-Asset Moderate Portfolio UCITS ETF EUR (Acc),MODR,Active ETF,"0,25%",Accumulating,EUR,"Equity,World,Social/Environmental,Multi-AssetStrategy"
34,IE00BLLZQ805,BlackRock ESG Multi-Asset Growth Portfolio UCITS ETF EUR (Acc),MAGR,Active ETF,"0,25%",Accumulating,EUR,"Equity,World,Social/Environmental,Multi-AssetStrategy"
35,LU2082999306,Lyxor Smart Overnight Return - UCITS ETF D-EUR,EGV2,Active ETF,"0,05%",Distributing,EUR,"MoneyMarket,EUR"
36,IE00BMYMHS24,Saturna Al-Kawthar Global Focused Equity UCITS ETF - Acc,ASWE,Active ETF,"0,75%",Accumulating,EUR,"Equity,World,IslamicInvesting"
37,IE00BLRPN388,Fidelity Sustainable Research Enhanced Emerging Markets Equity UCITS ETF - Acc,FYER,Active ETF,"0,50%",Accumulating,EUR,"Equity,EmergingMarkets,Social/Environmental"
38,IE00BMVB5K07,Vanguard LifeStrategy 20% Equity UCITS ETF (EUR) - Acc,V20A,Active ETF,"0,25%",Accumulating,EUR,"Equity,World,Multi-AssetStrategy"
39,IE00BMVB5L14,Vanguard LifeStrategy 20% Equity UCITS ETF (EUR) - Dist,V20D,Active ETF,"0,25%",Distributing,EUR,"Equity,World,Multi-AssetStrategy"
40,IE00BMVB5M21,Vanguard LifeStrategy 40% Equity UCITS ETF (EUR) - Acc,V40A,Active ETF,"0,25%",Accumulating,EUR,"Equity,World,Multi-AssetStrategy"
41,IE00BMVB5N38,Vanguard LifeStrategy 40% Equity UCITS ETF (EUR) - Dist,V40D,Active ETF,"0,25%",Distributing,EUR,"Equity,World,Multi-AssetStrategy"
42,IE00BMVB5P51,Vanguard LifeStrategy 60% Equity UCITS ETF (EUR) - Acc,V60A,Active ETF,"0,25%",Accumulating,EUR,"Equity,World,Multi-AssetStrategy"
43,IE00BMVB5Q68,Vanguard LifeStrategy 60% Equity UCITS ETF (EUR) - Dist,V60D,Active ETF,"0,25%",Distributing,EUR,"Equity,World,Multi-AssetStrategy"
44,IE00BMVB5R75,Vanguard LifeStrategy 80% Equity UCITS ETF (EUR) - Acc,V80A,Active ETF,"0,25%",Accumulating,EUR,"Equity,World,Multi-AssetStrategy"
45,IE00BMVB5S82,Vanguard LifeStrategy 80% Equity UCITS ETF (EUR) - Dist,V80D,Active ETF,"0,25%",Distributing,EUR,"Equity,World,Multi-AssetStrategy"
46,IE00BNGFMX61,Fidelity Sustainable Research Enhanced Japan Equity UCITS ETF,FJPR,Active ETF,"0,30%",Accumulating,EUR,"Equity,Japan,Social/Environmental"
47,IE00BNGFMY78,Fidelity Sustainable Research Enhanced Pacific ex-Japan Equity UCITS ETF,FEPX,Active ETF,"0,30%",Accumulating,EUR,"Equity,AsiaPacific,Social/Environmental"
48,IE00BN0YSK89,Ossiam Food for Biodiversity UCITS ETF - 1A (EUR),F4DE,Active ETF,"0,75%",Accumulating,EUR,"Equity,World,Agribusiness,FutureofFood"
49,IE00BN0YSJ74,Ossiam Food for Biodiversity UCITS ETF - 1A (USD),F4DU,Active ETF,"0,75%",Accumulating,USD,"Equity,World,Agribusiness,FutureofFood"
50,IE00BM9GRM34,Fidelity Sustainable Global Corporate Bond Paris-Aligned Multifactor UCITS ETF,FSCM,Active ETF,"0,25%",Distributing,EUR,"Bonds,World,Corporate,Allmaturities"
51,IE00BM9GRP64,Fidelity Sustainable USD EM Bond UCITS ETF - Inc,FESD,Active ETF,"0,45%",Distributing,EUR,"Bonds,EmergingMarkets,Government,Allmaturities"
52,IE000HFXP0D2,JPM Global Research Enhanced Index Equity (ESG) UCITS ETF - USD (dist),JRGD,Active ETF,"0,25%",Distributing,EUR,"Equity,World,Social/Environmental"
53,IE000WGK3YY5,JPM Europe Research Enhanced Index Equity (ESG) UCITS ETF - EUR (dist),JRED,Active ETF,"0,25%",Distributing,EUR,"Equity,Europe,Social/Environmental"
54,IE000FN81QD2,VanEck Smart Home Active UCITS ETF,VCAV,Active ETF,"0,85%",Accumulating,EUR,"Equity,World,Social/Environmental"
55,IE0000J0F3C5,JPM USD Corporate Bond Research Enhanced Index (ESG) UCITS ETF,JRUE,Active ETF,"0,19%",Accumulating,EUR,"Bonds,World,Corporate,Allmaturities"
56,IE0000UW95D6,JPM Global Research Enhanced Index Equity (ESG) UCITS ETF - EUR Hedged (acc),JRGE,Active ETF,"0,25%",Accumulating,EUR,"Equity,World,Social/Environmental"
57,IE00080CTQA4,Ossiam ESG Shiller Barclays CAPE Europe Sector UCITS ETF,5HEU,Active ETF,"0,75%",Distributing,EUR,"Equity,Europe,SectorStrategy"
58,IE00BMDV7578,JPM China A Research Enhanced Index Equity (ESG) UCITS ETF USD (acc),JREC,Active ETF,"0,40%",Accumulating,EUR,"Equity,China,Social/Environmental"
59,IE000DS9ZCL4,JPM China A Research Enhanced Index Equity (ESG) UCITS ETF USD (dist),JRDC,Active ETF,"0,40%",Distributing,EUR,"Equity,China,Social/Environmental"
60,IE00BMDV7354,JPM AC Asia Pacific ex Japan Research Enhanced Index Equity (ESG) UCITS ETF USD (acc),JREA,Active ETF,"0,30%",Accumulating,EUR,"Equity,AsiaPacific,Social/Environmental"
61,IE00BKPSPT20,First Trust Global Capital Strength ESG Leaders UCITS ETF,FTGS,Active ETF,"0,75%",Accumulating,EUR,"Equity,World,Fundamental/Quality"
62,IE00BMDV7461,JPM RMB Ultra-Short Income UCITS ETF - USD (dist),JCST,Active ETF,"0,28%",Distributing,EUR,"Bonds,China,Aggregate,0-3"
63,IE000RE0WX27,JPM RMB Ultra-Short Income UCITS ETF - USD (acc),JCSA,Active ETF,"0,28%",Accumulating,EUR,"Bonds,China,Aggregate,0-3"
64,IE00BP2NF958,JPM Japan Research Enhanced Index Equity (ESG) UCITS ETF USD (acc),JREJ,Active ETF,"0,25%",Accumulating,EUR,"Equity,Japan,Social/Environmental"
