,ISIN,Name,Symbol,Type,TER,Dividendi,Trading Currency
0,DE0002635265,ISHARES PFANDBRIEFE UCITS ETF,EXHE:MILANO,ETF,"0,10%",Distributing,EUR
1,DE0002635299,ISHARES STX EUROPE SEL DIV 30 UCITS ETF,EXSH:MILANO,ETF,"0,32%",Distributing,EUR
2,DE0002635307,ISHARES STOXX EUROPE600EUR DIS UCITS ETF,EXSA:MILANO,ETF,"0,20%",Distributing,EUR
3,DE0005933931,ISHARES CORE DAX UCITS ETF,EXS1:MILANO,ETF,"0,17%",Accumulating,EUR
4,DE000A0D8Q07,ISHARES EURO STOXX UCITS ETF,EXSI:MILANO,ETF,"0,21%",Distributing,EUR
5,DE000A0D8Q49,ISHARES DJ US SELECT DIVIDEND UCITS ETF,EXX5:MILANO,ETF,"0,32%",Distributing,EUR
6,DE000A0H0728,ISHARES DIVERS COMMODITY SWAP UCITS ETF,EXXY:MILANO,ETF,"0,47%",Accumulating,EUR
7,DE000A0Q4RZ9,ISHARES EB.REXX GOV.GER. 0-1YR UCITS ETF,EXVM:MILANO,ETF,"0,13%",Distributing,EUR
8,FR0007054358,LXR EUR STOXX 50 DR - ACC UCITS ETF,MSE:MILANO,ETF,"0,20%",Distributing,EUR
9,FR0007056841,LYXOR DJ INDUST AVERAGE UCITS ETF - DIST,DJE:MILANO,ETF,"0,50%",Distributing,EUR
10,FR0007075494,LYXOR UCITS ETF DJ GLOBAL TITANS 50,MGT:MILANO,ETF,"0,40%",Distributing,EUR
11,FR0010010827,LYXOR FTSE MIB (DR) - DIST UCITS ETF,ETFMIB:MILANO,ETF,"0,35%",Distributing,EUR
12,FR0010245514,LYXOR JAPAN TOPIX DR UCITS ETF - DIST,JPN:MILANO,ETF,"0,45%",Distributing,EUR
13,FR0010261198,LXR MSCI EUROPE - ACC UCITS ETF,MEU:MILANO,ETF,"0,25%",Distributing,EUR
14,FR0010296061,LXR MSCI USA ESG BROAD CTB (DR UCITS ETF,LUSA:MILANO,ETF,"0,09%",Distributing,EUR
15,FR0010315770,LYXOR MSCI WORLD UCITS ETF - DIST,WLD:MILANO,ETF,"0,30%",Distributing,EUR
16,FR0010361683,LYXOR MSCI INDIA UCITS ETF - ACC,INDI:MILANO,ETF,"0,85%",Accumulating,EUR
17,FR0010405431,LYXOR MSCI GREECE UCITS ETF,GRC:MILANO,ETF,"0,45%",Distributing,EUR
18,FR0010424143,LYXOR ESTX50 DAILY -2X INV UCITS ETF ACC,BXX:MILANO,STRUCTURED ETF,"0,60%",Accumulating,EUR
19,FR0010429068,LYXOR MSCI EMERGING MKTS UCITS ETF ACC,EMKT:MILANO,ETF,"0,55%",Accumulating,EUR
20,FR0010446146,LYXOR FTSEMIB DAI -1X BEAR UCITS ETF ACC,BERMIB:MILANO,STRUCTURED ETF,"0,60%",Accumulating,EUR
21,FR0010446658,LYXOR FTSEMIB DAI 2X LEV UCITS ETF DIST,LEVMIB:MILANO,STRUCTURED ETF,"0,60%",Distributing,EUR
22,FR0010446666,LYXOR FTSEMIB DAI -2X XBR UCITS ETF ACC,XBRMIB:MILANO,STRUCTURED ETF,"0,60%",Accumulating,EUR
23,FR0010468983,LYXOR ESTX50 DAILY 2X LEV UCITS ETF ACC,DJLEV:MILANO,STRUCTURED ETF,"0,40%",Accumulating,EUR
24,FR0010510800,LYXOR EURO OVERNIGHT RETURN UCITS ETF,LEONIA:MILANO,ETF,"0,10%",Accumulating,EUR
25,FR0010524777,LXR MSCI NW ENRG ESG FILT DIS UCITS ETF,ENER:MILANO,ETF,"0,60%",Distributing,EUR
26,FR0010527275,LXR MSCI WATER ESG FILTER (DR) UCITS ETF,WAT:MILANO,ETF,"0,60%",Distributing,EUR
27,IE0005042456,ISHARES CORE FTSE 100 UCITS ETF DIST,ISF:MILANO,ETF,"0,07%",Distributing,EUR
28,IE0008470928,ISHARES STOXX EUROPE 50 UCITS ETF DIST,EUN:MILANO,ETF,"0,35%",Distributing,EUR
29,IE0008471009,ISHARESCOREEUROSTOXX50€(DIST) UCITS ETF,EUE:MILANO,ETF,"0,10%",Distributing,EUR
30,IE0031442068,ISHARESCORES&P500$(DIST) UCITS ETF,IUSA:MILANO,ETF,"0,07%",Distributing,EUR
31,IE0032077012,INVESCO EQQQ NASDAQ-100 UCITS ETF,EQQQ:MILANO,ETF,"0,20%",Distributing,EUR
32,IE0032523478,ISHARES CORP BOND LAR CAP UCITS ETF DIST,IBCX:MILANO,ETF,"0,20%",Distributing,EUR
33,IE0032895942,ISHARES $ CORP BOND UCITS ETF USD DIST,LQDE:MILANO,ETF,"0,20%",Distributing,EUR
34,IE00B02KXH56,ISHARES MSCI JAPAN UCITS ETF USD DIST,IJPN:MILANO,ETF,"0,59%",Distributing,EUR
35,IE00B02KXK85,ISHARES CHINA LARGE CAP UCITS ETF DIST,FXC:MILANO,ETF,"0,74%",Distributing,EUR
36,IE00B02KXL92,ISHARES EURO STOXX MID UCITS ETF DIST,DJMC:MILANO,ETF,"0,40%",Distributing,EUR
37,IE00B02KXM00,ISHARES EURO STOXX SMALL UCITS ETF DIST,DJSC:MILANO,ETF,"0,40%",Distributing,EUR
38,IE00B0M62Q58,ISHARES MSCI WORLD UCITS ETF USD DIST,IWRD:MILANO,ETF,"0,50%",Distributing,EUR
39,IE00B0M62S72,ISHARES EURO DIVIDEND UCITS ETF EUR DIST,IDVY:MILANO,ETF,"0,40%",Distributing,EUR
40,IE00B0M62X26,ISHARES INFL LINKED GOVT UCITS ETF ACC,IBCI:MILANO,ETF,"0,90%",Distributing,EUR
41,IE00B0M63060,ISHARES UK DIVIDEND UCITS ETF DIST,IUKD:MILANO,ETF,"0,40%",Distributing,EUR
42,IE00B0M63177,ISHARES MSCI EM UCITS ETF DIST,IEEM:MILANO,ETF,"0,18%",Distributing,EUR
43,IE00B0M63284,ISHARES EURO PROP YIELD UCITS ETF DIST,IPRP:MILANO,ETF,"0,40%",Distributing,EUR
44,IE00B0M63391,ISHARES MSCI KOREA UCITS ETF USD DIST,IKOR:MILANO,ETF,"0,74%",Distributing,EUR
45,IE00B0M63516,ISHARES MSCI BRAZIL UCITS ETF DIST,IBZL:MILANO,ETF,"0,74%",Distributing,EUR
46,IE00B0M63623,ISHARES MSCI TAIWAN UCITS ETF USD DIST,ITWN:MILANO,ETF,"0,74%",Distributing,EUR
47,IE00B0M63730,ISHARES MSCI AC FARE EX-J UCITS ETF DIST,IFFF:MILANO,ETF,"0,74%",Distributing,EUR
48,IE00B14X4M10,ISHARES MSCI NORTH AMER UCITS ETF DIST,INAA:MILANO,ETF,"0,40%",Distributing,EUR
49,IE00B14X4N27,ISHARES MSCI EURO EX-UK UCITS ETF DIST,IEUX:MILANO,ETF,"0,40%",Distributing,EUR
50,IE00B14X4Q57,ISHARES GOVT BOND 1-3YR UCITS ETF DIST,IBGS:MILANO,ETF,"0,15%",Distributing,EUR
